A;SECTION A HUMAN NECESSITIES
A01;AGRICULTURE. FORESTRY. ANIMAL HUSBANDRY. HUNTING. TRAPPING. FISHING
A01B;SOIL WORKING IN AGRICULTURE OR FORESTRY. PARTS, DETAILS, OR ACCESSORIES OF AGRICULTURAL MACHINES OR IMPLEMENTS, IN GENERAL (making or covering furrows or holes for sowing, planting or manuring A01C0005000000. machines for harvesting root crops A01D. mowers convertible to soil working apparatus or capable of soil working A01D0042040000. mowers combined with soil working implements A01D0043120000. soil working for engineering purposes E01, E02, E21)
A01B0001000000;Hand tools (edge trimmers for lawns A01G0003060000)
A01B0001020000;Spades. Shovels
A01B0001040000;with teeth
A01B0001060000;Hoes. Hand cultivators
A01B0001080000;with a single blade
A01B0001100000;with two or more blades
A01B0001120000;with blades provided with teeth
A01B0001140000;with teeth only
A01B0001160000;Tools for uprooting weeds
A01B0001180000;Tong-like tools
A01B0001200000;Combinations of different kinds of hand tools
A01B0001220000;Attaching the blades or the like to handles (handles for tools, or their attachment, in general B25G). Interchangeable or adjustable blades
A01B0001240000;for treating meadows or lawns
A01B0003000000;Ploughs
A01B0003000000;Ploughs with fixed plough-shares
A01B0003020000;Man-driven ploughs
A01B0003040000;Animal-drawn ploughs
A01B0003060000;without alternating possibility, i.e. incapable of making an adjacent furrow on return journey
A01B0003080000;Swing ploughs
A01B0003100000;Trussed-beam ploughs. Single-wheel ploughs
A01B0003120000;Two-wheel beam ploughs
A01B0003140000;Frame ploughs
A01B0003160000;Alternating ploughs, i.e. capable of making an adjacent furrow on return journey
A01B0003180000;Turn-wrest ploughs
A01B0003200000;Balance ploughs
A01B0003220000;with parallel plough units used alternately
A01B0003240000;Tractor-drawn ploughs (A01B0003040000 takes precedence)..
A01B0003260000;without alternating possibility
A01B0003280000;Alternating ploughs
A01B0003300000;Turn-wrest ploughs
A01B0003320000;Balance ploughs
A01B0003340000;with parallel plough units used alternately
A01B0003360000;Ploughs mounted on tractors
A01B0003380000;without alternating possibility
A01B0003400000;Alternating ploughs
A01B0003420000;Turn-wrest ploughs
A01B0003421000;with a headstock frame made in one piece
A01B0003426000;with a headstock frame made of two or more parts
A01B0003440000;with parallel plough units used alternately
A01B0003460000;Ploughs supported partly by tractor and partly by their own wheels
A01B0003500000;Self-propelled ploughs
A01B0003520000;with three or more wheels, or endless tracks
A01B0003540000;without alternating possibility
A01B0003560000;Alternating ploughs
A01B0003580000;with two wheels
A01B0003600000;Alternating ploughs
A01B0003620000;Balance ploughs
A01B0003640000;Cable ploughs. Indicating or signalling devices for cable plough systems
A01B0003660000;with motor-driven winding apparatus mounted on the plough
A01B0003680000;Cable systems with one or two engines
A01B0003700000;Systems with one engine for working uphill
A01B0003720000;Means for anchoring the cables
A01B0003740000;Use of electric power for propelling ploughs (electric current collectors B60L0005000000)
A01B0005000000;Ploughs with rolling non-driven tools, e.g. discs (with rotary driven tools A01B0009000000)
A01B0005020000;drawn by animals
A01B0005040000;drawn by tractors
A01B0005060000;without alternating possibility
A01B0005080000;Alternating ploughs
A01B0005100000;mounted or partly-mounted on tractors
A01B0005120000;without alternating possibility
A01B0005140000;Alternating ploughs
A01B0005160000;Self-propelled disc or like ploughs
A01B0007000000;Disc-like soil-working implements usable either as ploughs or as harrows, or the like
A01B0009000000;Ploughs with rotary driven tools (tilling implements with rotary driven tools A01B0033000000)
A01B0011000000;Ploughs with oscillating, digging or piercing tools
A01B0013000000;Ploughs or like machines for special purposes (for drainage E02B0011020000)
A01B0013020000;for making or working ridges, e.g. with symmetrically arranged mouldboards
A01B0013040000;for working in vineyards, orchards, or the like
A01B0013060000;Arrangements for preventing damage to the vines, or the like
A01B0013080000;for working subsoil
A01B0013100000;Special implements for lifting subsoil layers
A01B0013120000;Means for distributing the layers on the surface
A01B0013140000;for working soil in two or more layers
A01B0013160000;Machines for combating erosion, e.g. basin-diggers, furrow-dammers
A01B0015000000;Elements, tools, or details of ploughs
A01B0015020000;Plough blades. Fixing the blades
A01B0015040000;Shares
A01B0015060000;Interchangeable or adjustable shares
A01B0015080000;Mouldboards
A01B0015100000;Interchangeable or adjustable mouldboards
A01B0015120000;Beams. Handles (handles for tools or their attachment in general B25G)
A01B0015140000;Frames (means or arrangements to facilitate transportation A01B0073000000)
A01B0015160000;Discs (bearings therefor A01B0071040000). Scrapers for cleaning discs. Sharpening attachments (sharpening in general B24)
A01B0015180000;Coulters
A01B0015200000;Special adjusting means for tools of ploughs drawn by, or mounted on tractors working on hillsides or slopes
A01B0017000000;Ploughs with special additional arrangements, e.g. means for putting manure under the soil, clod-crushers (A01B0049000000 takes precedence.ploughs for working subsoil A01B0013080000)
A01B0019000000;Harrows
A01B0019000000;Harrows with non-rotating tools
A01B0019020000;with tools rigidly or elastically attached to a tool-frame
A01B0019040000;with two or more tool-frames
A01B0019060000;with tools or tool-frames moved to-and-fro mechanically
A01B0019080000;with link network supporting tooth-like tools
A01B0019100000;Lifting or cleaning apparatus
A01B0021000000;Harrows with rotary non-driven tools (tilling implements with rotary driven tools A01B0033000000)
A01B0021020000;with tooth-like tools
A01B0021040000;on horizontally-arranged axles
A01B0021060000;on vertically-arranged axles
A01B0021080000;with disc-like tools
A01B0023000000;Elements, tools, or details of harrows
A01B0023020000;Teeth. Fixing the teeth
A01B0023040000;Frames (means or arrangements to facilitate transportation A01B0073000000). Drawing-arrangements
A01B0023060000;Discs (A01B0015160000 takes precedence.bearings therefor A01B0071040000). Scrapers for cleaning discs. Sharpening attachments (sharpening in general B24)
A01B0025000000;Harrows with special additional arrangements, e.g. means for distributing fertilisers. Harrows for special purposes (A01B0039000000 takes precedence)..
A01B0027000000;Other machines for working soil
A01B0027000000;Clod-crushers
A01B0029000000;Rollers
A01B0029020000;with smooth surface
A01B0029040000;with non-smooth surface formed of rotatably- mounted rings or discs or with projections or ribs on the roller body. Land packers
A01B0029060000;with special additional arrangements
A01B0031000000;Drags
A01B0033000000;Tilling implements with rotary driven tools
A01B0033020000;with tools on horizontal shaft transverse to direction of travel
A01B0033040000;with tools on horizontal shaft parallel to direction of travel
A01B0033060000;with tools on vertical or steeply-inclined shaft
A01B0033080000;Tools. Details, e.g. adaptations of transmissions or gearings
A01B0033100000;Structural or functional features of the tools
A01B0033120000;Arrangement of the tools. Screening of the tools
A01B0033140000;Attaching the tools to the rotating shaft, e.g. resiliently-attached tools
A01B0033160000;with special additional arrangements (A01B0049000000 takes precedence.for sowing or fertilising A01B0049060000)
A01B0035000000;Other machines for working soil (A01B0037000000, A01B0039000000, A01B0077000000 take precedence)..
A01B0035020000;with non-rotating tools
A01B0035040000;drawn by animal or tractor
A01B0035060000;with spring tools
A01B0035080000;with rigid tools
A01B0035100000;mounted on tractors
A01B0035120000;with spring tools
A01B0035140000;with rigid tools
A01B0035160000;with rotating or circulating non-propelled tools
A01B0035180000;with both rotating and non-rotating tools
A01B0035200000;Tools. Details
A01B0035220000;Non-rotating tools. Mounting non-rotating tools
A01B0035240000;Spring tools
A01B0035260000;Rigid tools
A01B0035280000;Rotating tools. Mounting rotating tools
A01B0035300000;Undercarriages (A01B0023040000 takes precedence)..
A01B0035320000;with special additional arrangements
A01B0037000000;Devices for loosening soil compacted by wheels or the like
A01B0039000000;Other machines specially adapted for working soil on which crops are growing
A01B0039020000;with non-rotating tools
A01B0039040000;drawn by animal or tractor
A01B0039060000;Self-propelled machines
A01B0039080000;with rotating tools
A01B0039100000;with oscillating tools
A01B0039120000;for special purposes
A01B0039140000;for working ridges
A01B0039160000;for working in vineyards, orchards, or the like
A01B0039180000;for weeding
A01B0039190000;Rod weeders, i.e. weeder with rotary rods propelled beneath the soil surface
A01B0039200000;Tools. Details
A01B0039220000;Tools. Mounting tools
A01B0039240000;Undercarriages (A01B0023040000 takes precedence)..
A01B0039260000;Arrangements for protecting plants
A01B0039280000;with special additional arrangements (A01B0049000000 takes precedence)..
A01B0041000000;Thinning machines
A01B0041020000;with oscillating tools
A01B0041040000;with rotating tools
A01B0041060000;with electric, e.g. photo-electric control of thinning operations
A01B0043000000;Gatherers for removing stones, undesirable roots or the like from the soil, e.g. tractor-drawn rakes
A01B0045000000;Machines for treating meadows or lawns
A01B0045020000;for aerating
A01B0045040000;for cutting sods or turf
A01B0047000000;Soil-working with electric potential applied between tools and soil
A01B0049000000;Combined machines (auxiliary devices attached to machines of a different kind, e.g. harrows attached to ploughs, see the relevant groups for the machines)..
A01B0049020000;with two or more soil-working tools of different kind
A01B0049040000;Combinations of soil-working tools with non-soil-working tools, e.g. planting tools
A01B0049060000;for sowing or fertilising
A01B0051000000;Parts, details or accessories of agricultural machines or implements, in general
A01B0051000000;Undercarriages specially adapted for mounting-on various kinds of agricultural tools or apparatus (general vehicle aspects, see the relevant subclass of class B60 or B62)
A01B0051020000;propelled by a motor
A01B0051040000;drawn by animal or tractor
A01B0059000000;Devices specially adapted for connection between animals or tractors and agricultural machines or implements (A01B0063000000 takes precedence.vehicle connections in general B60D. draught assemblies for animal drawn vehicles, in general B62C0005000000)
A01B0059020000;for animal-drawn machines
A01B0059040000;for machines pulled or pushed by a tractor
A01B0059041000;preventing or limiting side-play of implements (preventing overstrain A01B0061000000)
A01B0059042000;having pulling means arranged on the rear part of the tractor
A01B0059043000;supported at three points, e.g. by quick-release couplings (A01B0059060000 takes precedence)..
A01B0059044000;having pulling means arranged on the middle part of the tractor
A01B0059046000;having pulling or pushing means arranged on the side of the tractor
A01B0059048000;having pulling or pushing means arranged on the front part of the tractor
A01B0059060000;for machines mounted on tractors
A01B0061000000;Devices for, or parts of, agricultural machines or implements for preventing overstrain (preventing overstrain in vehicle connections, in general B60D. preventing overstrain in couplings per seF16D)
A01B0061020000;of the coupling devices between tractor and machine
A01B0061040000;of the connection between tools and carrier beam or frame
A01B0063000000;Lifting or adjusting devices or arrangements for agricultural machines or implements (lifting mechanisms for the cutter-bar of a mower A01D0034240000. adjusting devices for the cutter-bar of a mower A01D0034280000. constructional features of lifting devices per seB66F)
A01B0063020000;for implements mounted on tractors
A01B0063040000;Hand devices. Hand devices with mechanical accumulators, e.g. springs
A01B0063060000;operated mechanically by tractor motor
A01B0063080000;operated by the movement of the tractor
A01B0063100000;operated by hydraulic or pneumatic means
A01B0063102000;characterised by the location of the mounting on the tractor, e.g. on the rear part
A01B0063104000;on the middle part, i.e. between front and rear wheels
A01B0063106000;on the side
A01B0063108000;on the front part
A01B0063110000;for controlling weight transfer between implements and tractor wheels
A01B0063111000;regulating working depth of implements
A01B0063112000;to control draught load, i.e. tractive force
A01B0063114000;to achieve a constant working depth
A01B0063118000;Mounting implements on power-lift linkages (A01B0059043000 takes precedence.preventing or limiting side-play of implements A01B0059041000. preventing overstrain A01B0061000000)
A01B0063120000;operated by an electric motor
A01B0063140000;for implements drawn by animals or tractors
A01B0063160000;with wheels adjustable relatively to the frame
A01B0063180000;with clutch between Z-type axle and wheel
A01B0063200000;with gear and rack
A01B0063220000;operated by hydraulic or pneumatic means
A01B0063240000;Tools or tool-holders adjustable relatively to the frame
A01B0063260000;by man-power
A01B0063280000;operated by the machine or implement
A01B0063300000;operated by motor power through a mechanical transmission
A01B0063320000;operated by hydraulic or pneumatic means
A01B0067000000;Devices for controlling the tractor motor by resistance of tools (preventing overstrain A01B0061000000)
A01B0069000000;Steering of agricultural machines or implements. Guiding agricultural machines or implements on a desired track
A01B0069020000;Ridge-marking or like devices. Checkrow wires. Accessories therefor
A01B0069040000;Special adaptations of automatic tractor steering, e.g. electric system for contour ploughing
A01B0069060000;Lateral steering of machines by an additional operator
A01B0069080000;Lateral steering of machines derived from the lateral movement of tractor
A01B0071000000;Construction or arrangement of setting or adjusting mechanisms, of implement or tool drive or of power take-off. Means for protecting parts against dust, or the like. Adapting machine elements to or for agricultural purposes
A01B0071020000;Setting or adjusting mechanisms
A01B0071040000;Bearings of rotating parts, e.g. for soil-working discs (bearings in general F16C)
A01B0071060000;Special adaptations of coupling means between power take-off and transmission shaft to the implement or machine (couplings for transmitting rotation F16D)
A01B0071080000;Means for protecting against dust or the like, or for cleaning agricultural implements (A01B0015160000, A01B0019100000, A01B0023060000 take precedence.screening of rotary driven tilling tools A01B0033120000. screening of rotary parts in general F16P0001000000)
