B;SECTION B PERFORMING OPERATIONS TRANSPORTING
B01;PHYSICAL OR CHEMICAL PROCESSES OR APPARATUS IN GENERAL
B01B;BOILING. BOILING APPARATUS
B01B0001000000;Boiling. Boiling apparatus for physical or chemical purposes (preparation of starch C08B0030000000. sugar industry C13. steam generation F22. domestic boilers F24)
B01B0001020000;Preventing foaming (in general B01D0019020000)
B01B0001040000;by chemical means
B01B0001060000;Preventing bumping
B01B0001080000;Boiling apparatus provided with reflux condenser
B01D;SEPARATION (separating solids from solids by wet methods B03B, B03D, by pneumatic jigs or tables B03B, by other dry methods B07. magnetic or electrostatic separation of solid materials from solid materials or fluids, separation by high-voltage electric fields B03C. centrifuges B04B. presses per se for squeezing-out liquid from liquid-containing material B30B0009020000)
B01D0001000000;Evaporating (drying solid materials or objects by evaporating liquids therefrom F26B)
B01D0001020000;Evaporators with heating coils
B01D0001040000;Evaporators with horizontal tubes
B01D0001060000;Evaporators with vertical tubes
B01D0001080000;with short tubes (B01D0001120000 takes precedence)..
B01D0001100000;with long tubes, e.g. Kestner evaporators (B01D0001120000 takes precedence)..
B01D0001120000;and forced circulation
B01D0001140000;with heated gases or vapours in contact with the liquid
B01D0001160000;by spraying (B01D0001220000 takes precedence)..
B01D0001180000;to obtain dry solids (B01D0001240000 takes precedence)..
B01D0001200000;Sprayers
B01D0001220000;by bringing a thin layer of the liquid into contact with a heated surface
B01D0001240000;to obtain dry solids
B01D0001260000;Multiple-effect evaporating
B01D0001280000;with vapour compression
B01D0001300000;Accessories for evaporators
B01D0003000000;Distillation or related exchange processes in which liquids are contacted with gaseous media, e.g. stripping
B01D0003020000;in boilers or stills
B01D0003040000;pipe stills
B01D0003060000;Flash distillation
B01D0003080000;in rotating vessels. Atomisation on rotating discs (B01D0003100000 takes precedence)..
B01D0003100000;Vacuum distillation (B01D0003120000 takes precedence)..
B01D0003120000;Molecular distillation
B01D0003140000;Fractional distillation
B01D0003160000;Fractionating columns in which vapour bubbles through liquid
B01D0003180000;with horizontal bubble plates
B01D0003200000;Bubble caps. Risers for vapour. Discharge pipes for liquid
B01D0003220000;with horizontal sieve plates or grids. Construction of sieve plates or grids
B01D0003240000;with sloping plates or elements mounted stepwise
B01D0003260000;Fractionating columns in which vapour and liquid flow pass each other, or in which the fluid is sprayed into the vapour, or in which a two-phase mixture is passed in one direction
B01D0003280000;Fractionating columns with surface contact and vertical guides, e.g. film action
B01D0003300000;Fractionating columns with movable parts or in which centrifugal movement is caused
B01D0003320000;Other features of fractionating columns
B01D0003340000;with one or more auxiliary substances
B01D0003360000;Azeotropic distillation
B01D0003380000;Steam distillation
B01D0003400000;Extractive distillation
B01D0003420000;Regulation. Control
B01D0005000000;Condensation of vapours. Recovering volatile solvents by condensation (B01D0008000000 takes precedence.condensers F28B)
B01D0007000000;Sublimation (B01D0008000000 takes precedence.freeze-drying F26)
B01D0007020000;Crystallisation directly from the vapour phase (into single crystals C30B0023000000)
B01D0008000000;Cold traps. Cold baffles
B01D0009000000;Crystallisation (crystallisation directly from the vapour phase B01D0007020000. making single crystals C30B)
B01D0009020000;from solutions
B01D0009040000;concentrating solutions by removing frozen solvent therefrom
B01D0011000000;Solvent extraction
B01D0011020000;of solids
B01D0011040000;of solutions which are liquid
B01D0012000000;Displacing liquid, e.g. from wet solids or from dispersions of liquids or from solids in liquids, by means of another liquid
B01D0015000000;Separating processes involving the treatment of liquids with solid sorbents. Apparatus therefor
B01D0015020000;with moving adsorbents
B01D0015040000;with ion-exchange materials as adsorbents (B01D0015360000 takes precedence)..
B01D0015080000;Selective adsorption, e.g. chromatography
B01D0015100000;characterised by constructional or operational features
B01D0015120000;relating to the preparation of the feed
