C;SECTION C CHEMISTRY METALLURGY
C01;INORGANIC CHEMISTRY
C01B;NON-METALLIC ELEMENTS. COMPOUNDS THEREOF (fermentation or enzyme-using processes for the preparation of elements or inorganic compounds except carbon dioxide C12P0003000000. ¶ÿproduction of non-metallic elements or inorganic compounds by electrolysis or electrophoresis C25B)
C01B0003000000;Hydrogen. Hydrides. Water. Synthesis gas from hydrocarbons
C01B0003000000;Hydrogen. Gaseous mixtures containing hydrogen. Separation of hydrogen from mixtures containing it. Purification of hydrogen (production of water-gas or synthesis gas from solid carbonaceous material C10J)
C01B0003020000;Production of hydrogen or of gaseous mixtures containing hydrogen
C01B0003040000;by decomposition of inorganic compounds, e.g. ammonia
C01B0003060000;by reaction of inorganic compounds containing electro-positively bound hydrogen, e.g. water, acids, bases, ammonia, with inorganic reducing agents (by electrolysis of water C25B0001040000)
C01B0003080000;with metals
C01B0003100000;by reaction of water vapour with metals
C01B0003120000;by reaction of water vapour with carbon monoxide
C01B0003140000;Handling of heat and steam
C01B0003160000;using catalysts
C01B0003180000;using moving solid particles
C01B0003200000;by reaction of metal hydroxides with carbon monoxide
C01B0003220000;by decomposition of gaseous or liquid organic compounds
C01B0003240000;of hydrocarbons
C01B0003260000;using catalysts
C01B0003280000;using moving solid particles
C01B0003300000;using the fluidised bed technique
C01B0003320000;by reaction of gaseous or liquid organic compounds with gasifying agents, e.g. water, carbon dioxide, air
C01B0003340000;by reaction of hydrocarbons with gasifying agents
C01B0003360000;using oxygen or mixtures containing oxygen as gasifying agents
C01B0003380000;using catalysts
C01B0003400000;characterised by the catalyst
C01B0003420000;using moving solid particles
C01B0003440000;using the fluidised bed technique
C01B0003460000;using discontinuously preheated non-moving solid materials, e.g. blast and run
C01B0003480000;followed by reaction of water vapour with carbon monoxide
C01B0003500000;Separation of hydrogen or hydrogen containing gases from gaseous mixtures, e.g. purification (C01B0003140000 takes precedence)..
C01B0003520000;by contacting with liquids. Regeneration of used liquids
C01B0003540000;including a catalytic reaction
C01B0003560000;by contacting with solids. Regeneration of used solids
C01B0003580000;including a catalytic reaction
C01B0004000000;Hydrogen isotopes. Inorganic compounds thereof prepared by isotope exchange, e.g. NH. 3 + D2       NH2D + HD
C01B0005000000;Water
C01B0005020000;Heavy water. Preparation by chemical reaction of hydrogen isotopes or their compounds, e.g. 4ND. 3+7O2 4NO2+6D2O, 2D2+O2 2D2O
C01B0006000000;Hydrides of metals. Monoborane or diborane. Addition complexes thereof
C01B0006020000;Hydrides of transition elements. Addition complexes thereof
C01B0006040000;Hydrides of alkali metals, alkaline earth metals, beryllium or magnesium. Addition complexes thereof
C01B0006060000;Hydrides of aluminium, gallium, indium, thallium, germanium, tin, lead, arsenic, antimony, bismuth or polonium. Monoborane. Diborane. Addition complexes thereof
C01B0006100000;Monoborane. Diborane. Addition complexes thereof
C01B0006110000;Preparation from boron or inorganic compounds containing boron and oxygen
C01B0006130000;Addition complexes of monoborane or diborane, e.g. with phosphine, arsine or hydrazine
C01B0006150000;Metal borohydrides. Addition complexes thereof
C01B0006170000;Preparation from boron or inorganic compounds containing boron and oxygen
C01B0006190000;Preparation from other compounds of boron
C01B0006210000;Preparation of borohydrides of alkali metals, alkaline earth metals, magnesium or beryllium. Addition complexes thereof, e.g. LiBH. 4.2N2H4, NaB2H7
C01B0006230000;Preparation of borohydrides of other metals, e.g. aluminium borohydride. Addition complexes thereof, e.g. Li [Al(BH. 4)3H]
C01B0006240000;Hydrides containing at least two metals, e.g. Li(AlH. 4)Addition complexes thereof (C01B0006130000-C01B0006230000.  take precedence)..
C01B0006260000;Preparation from the metal with the highest valency or from its oxides or salts of its oxyacids
C01B0006340000;Purification. Stabilisation
C01B0007000000;Halogens. Compounds thereof
C01B0007000000;Halogens. Halogen acids
C01B0007010000;Chlorine. Hydrogen chloride
C01B0007030000;Preparation from chlorides
C01B0007040000;Preparation of chlorine from hydrogen chloride
C01B0007050000;Preparation from ammonium chloride
C01B0007070000;Purification
C01B0007075000;of liquid chlorine
C01B0007090000;Bromine. Hydrogen bromide
C01B0007130000;Iodine. Hydrogen iodide
C01B0007140000;Iodine
C01B0007160000;Preparation from seaweed
C01B0007190000;Fluorine. Hydrogen fluoride
C01B0007200000;Fluorine
C01B0007240000;Inter-halogen compounds
C01B0009000000;General methods of preparing halides (particular individual halides, see the relevant groups in subclasses C01B-C01G.  according to the element combined with the halogen.electrolytic production of inorganic compounds C25B)
C01B0009020000;Chlorides
C01B0009040000;Bromides
C01B0009060000;Iodides
C01B0009080000;Fluorides
C01B0011000000;Oxides or oxyacids of halogens. Salts thereof
C01B0011020000;Oxides of chlorine
C01B0011040000;Hypochlorous acid
C01B0011060000;Hypochlorites, e.g. chlorinated lime
C01B0011080000;Chlorous acid
C01B0011100000;Chlorites
C01B0011120000;Chloric acid
C01B0011140000;Chlorates
C01B0011160000;Perchloric acid
C01B0011180000;Perchlorates
C01B0011200000;Oxygen compounds of bromine
C01B0011220000;Oxygen compounds of iodine
C01B0011240000;Oxygen compounds of fluorine
C01B0013000000;Oxygen. Oxides or hydroxides in general. Per-compounds
C01B0013000000;Oxygen. Ozone. Oxides or hydroxides in general
C01B0013020000;Preparation of oxygen (by liquefying F25J)
C01B0013080000;from air with the aid of metal oxides, e.g. barium oxide, manganese oxide
C01B0013100000;Preparation of ozone
C01B0013110000;by electric discharge
C01B0013140000;Methods for preparing oxides or hydroxides in general (particular individual oxides or hydroxides, see the relevant groups of subclasses C01B-C01G.  or C25B, according to the element combined with the oxygen or hydroxy group)..
C01B0013160000;Purification
C01B0013180000;by thermal decomposition of compounds, e.g. of salts or hydroxides
C01B0013200000;by oxidation of elements in the gaseous state. by oxidation or hydrolysis of compounds in the gaseous state
C01B0013220000;of halides or oxyhalides
C01B0013240000;in the presence of hot combustion gases
C01B0013260000;in the presence of a fluidised bed
C01B0013280000;using a plasma or an electric discharge
C01B0013300000;Removal and cooling of the oxide containing suspension
C01B0013320000;by oxidation or hydrolysis of elements or compounds in the liquid or solid state
C01B0013340000;by oxidation or hydrolysis of sprayed or atomised solutions
C01B0013360000;by precipitation reactions in solutions
C01B0015000000;Peroxides. Peroxyhydrates. Peroxyacids or salts thereof. Superoxides. Ozonides
C01B0015010000;Hydrogen peroxide
C01B0015013000;Separation. Purification. Concentration
C01B0015017000;Anhydrous hydrogen peroxide. Anhydrous solutions or gaseous mixtures containing hydrogen peroxide
C01B0015022000;Preparation from organic compounds
C01B0015023000;by the alkyl-anthraquinone process
C01B0015024000;from hydrocarbons
C01B0015026000;from alcohols
C01B0015027000;Preparation from water
C01B0015029000;Preparation from hydrogen and oxygen
C01B0015030000;Preparation from inorganic peroxy-compounds, e.g. from peroxysulfates
C01B0015032000;from metal peroxides
C01B0015037000;Stabilisation by additives
C01B0015040000;Metal peroxides or peroxyhydrates thereof. Superoxides. Ozonides
C01B0015043000;of alkali metals, alkaline earth metals or of magnesium
C01B0015047000;of heavy metals
C01B0015055000;Peroxyhydrates (C01B0015040000 takes precedence)..Peroxyacids or salts thereof
C01B0015060000;containing sulfur
C01B0015080000;Peroxysulfates
C01B0015100000;containing carbon
C01B0015120000;containing boron
C01B0015140000;containing silicon
C01B0015160000;containing phosphorus
C01B0017000000;Sulfur. Compounds thereof
C01B0017020000;Preparation of sulfur. Purification
C01B0017027000;Recovery of sulfur from material containing elemental sulfur, e.g. luxmasses. Purification
C01B0017033000;using a liquid extractant
C01B0017040000;from gaseous sulfur compounds including gaseous sulfides
C01B0017050000;by wet processes
C01B0017060000;from non-gaseous sulfides or materials containing such sulfides, e.g. ores
C01B0017100000;Finely-divided sulfur, e.g. sublimed sulfur, flowers of sulfur
C01B0017120000;Insoluble sulfur (mu-sulfur)
C01B0017160000;Hydrogen sulfides
C01B0017180000;Hydrogen polysulfides
C01B0017200000;Methods for preparing sulfides or polysulfides, in general (ammonium sulfides or polysulfides C01C. sulfides or polysulfides of metals, other than alkali metals, magnesium, calcium, strontium, and barium, see the relevant groups of subclasses C01F.  or C01G, according to the metal).
C01B0017220000;Alkali metal sulfides or polysulfides
C01B0017240000;Preparation by reduction
C01B0017260000;with carbon
C01B0017280000;with reducing gases
C01B0017300000;Preparation from sodium or potassium amalgam with sulfur or sulfides
C01B0017320000;Hydrosulfides of sodium or potassium
C01B0017340000;Polysulfides of sodium or potassium
C01B0017360000;Purification
C01B0017380000;Dehydration
C01B0017400000;Making shaped products, e.g. granules
C01B0017420000;Sulfides or polysulfides of magnesium, calcium, strontium, or barium
C01B0017430000;from oxides or hydroxides with sulfur or hydrogen sulfide
C01B0017440000;by reduction of sulfates
C01B0017450000;Compounds containing sulfur and halogen, with or without oxygen
C01B0017460000;Compounds containing sulfur, halogen, hydrogen, and oxygen
C01B0017480000;Sulfur dioxide. Sulfurous acid
C01B0017500000;Preparation of sulfur dioxide
C01B0017520000;by roasting sulfides (C22B0001000000 takes precedence)..
C01B0017540000;by burning elemental sulfur
C01B0017560000;Separation. Purification
C01B0017580000;Recovery of sulfur dioxide from acid tar or the like
C01B0017600000;Isolation of sulfur dioxide from gases
C01B0017620000;Methods of preparing sulfites in general (particular individual sulfites, see the relevant groups of subclasses C01B-C01G, according to the cation)..
C01B0017640000;Thiosulfates. Dithionites. Polythionates
C01B0017660000;Dithionites
C01B0017690000;Sulfur trioxide. Sulfuric acid
C01B0017700000;Stabilisation of gamma-form sulfur trioxide
C01B0017740000;Preparation
C01B0017760000;by contact processes
C01B0017765000;Multi-stage SO. 3-conversion
C01B0017770000;Fluidised-bed processes
C01B0017775000;Liquid phase contacting processes or wet catalysis processes
C01B0017780000;characterised by the catalyst used
C01B0017790000;containing vanadium
