D;SECTION D TEXTILESPAPER
D01;NATURAL OR MAN-MADE THREADS OR FIBRES. SPINNING
D01B;MECHANICAL TREATMENT OF NATURAL FIBROUS OR FILAMENTARY MATERIAL TO OBTAIN FIBRES OR FILAMENTS, e.g. FOR SPINNING (crude extraction of asbestos fibres from ores B03B. apparatus for retting D01C)
D01B0001000000;Mechanical separation of fibres from plant material, e.g. seeds, leaves, stalks
D01B0001020000;Separating vegetable fibres from seeds, e.g. cotton
D01B0001040000;Ginning
D01B0001060000;Roller gins, e.g. Macarthy type
D01B0001080000;Saw gins
D01B0001100000;Separating vegetable fibres from stalks or leaves
D01B0001120000;Rippling
D01B0001140000;Breaking or scutching, e.g. of flax. Decorticating
D01B0001160000;with devices dependent on a bending action to break or loosen fibre-bearing materials (crushing rollers D01B0001220000)
D01B0001180000;with stamping devices
D01B0001200000;with scraping devices
D01B0001220000;with crushing or breaking rollers or plates
D01B0001240000;with toothed or other pointed devices
D01B0001260000;with beaters rotating about an axis parallel to the fibre bundle
D01B0001280000;with beaters rotating about an axis perpendicular to the fibre bundle
D01B0001300000;Details of machines
D01B0001320000;Feeding arrangements
D01B0001340000;Devices holding fibres or fibre-bearing materials during treatment
D01B0001360000;Conveying devices, e.g. moving bands or ropes
D01B0001380000;Delivery or discharge arrangements
D01B0001400000;Arrangements for disposing of non-fibrous materials
D01B0001420000;employing liquids
D01B0001440000;Framework. Casings. Coverings. Grids
D01B0001460000;Driving arrangements
D01B0001480000;Drying retted fibres
D01B0001500000;Obtaining fibres from other specified vegetable matter, e.g. peat, Spanish moss
D01B0003000000;Mechanical removal of impurities from animal fibres (carbonising rags to recover animal fibres D01C0005000000)
D01B0003020000;De-burring machines or apparatus (de-burring arrangements forming part of, or intimately associated with, carding or drafting machines, e.g. burr-crushing rollers, D01G)
D01B0003040000;Machines or apparatus for washing or scouring loose wool fibres
D01B0003060000;with circular movement of either wool or liquid
D01B0003080000;with longitudinal movement of either wool or liquid
D01B0003100000;Details of machines or apparatus
D01B0005000000;Hackling or heckling machines (hand heckling tools D01G0033000000)
D01B0005020000;Details
D01B0005040000;Apparatus for feeding, holding, or conveying materials to or in machines
D01B0005060000;Construction, mounting, or operating features of heckling devices
D01B0005080000;Arrangements for removing, or disposing of, tow or waste
D01B0005100000;Touch pins or other ending devices
D01B0005120000;Framework. Casings. Coverings
D01B0005140000;Driving arrangements
D01B0005160000;Arrangements for confining or removing dust or the like
D01B0007000000;Obtaining silk fibres or filaments
D01B0007020000;Cleaning or classifying silk cocoons
D01B0007040000;Reeling silk
D01B0007060000;Obtaining silk from cocoons or portions thereof not suitable for reeling (de-gumming silk D01C0003020000)
D01B0009000000;Other mechanical treatment of natural fibrous or filamentary material to obtain fibres or filaments
D01C;CHEMICAL OR BIOLOGICAL TREATMENT OF NATURAL FILAMENTARY OR FIBROUS MATERIAL TO OBTAIN FILAMENTS OR FIBRES FOR SPINNING. CARBONISING RAGS TO RECOVER ANIMAL FIBRES
D01C0001000000;Treatment of vegetable material
D01C0001020000;by chemical methods to obtain bast fibres
D01C0001040000;Bacteriological retting
D01C0003000000;Treatment of animal material, e.g. chemical scouring of wool (recovery of lanolin or wool wax C11B0011000000)
D01C0003020000;De-gumming silk
D01C0005000000;Carbonising rags to recover animal fibres (chemical removal of vegetable impurities from threads or fabrics of animal fibres D06M)
D01D;MECHANICAL METHODS OR APPARATUS IN THE MANUFACTURE OF MAN-MADE FILAMENTS, THREADS, FIBRES, BRISTLES OR RIBBONS (working or processing of metal wire B21F. fibres or filaments of softened glass, minerals or slag C03B0037000000)
D01D0001000000;Treatment of filament-forming or like material (working of plastics or substances in a plastic state, in general B29)
D01D0001020000;Preparation of spinning solutions
D01D0001040000;Melting filament-forming substances
D01D0001060000;Feeding liquid to the spinning head (constructions of pumps F04)
D01D0001090000;Pressure, temperature or feeding rate regulation
D01D0001100000;Filtering or de-aerating the spinning solution or melt
D01D0004000000;Spinnerette packs. Cleaning thereof (D01D0005240000, D01D0005253000, D01D0005280000 take precedence)..
D01D0004020000;Spinnerettes (alloys therefor C22C)
D01D0004040000;Cleaning spinnerettes or other parts of the spinnerette packs (cleaning in general B08B)
D01D0004060000;Distributing spinning solution or melt to spinning nozzles
D01D0004080000;Supporting spinnerettes or other parts of spinnerette packs
D01D0005000000;Formation of filaments, threads, or the like
D01D0005020000;Starting the formation
D01D0005040000;Dry spinning methods
D01D0005060000;Wet spinning methods
D01D0005080000;Melt-spinning methods
D01D0005084000;Heating filaments, threads or the like, leaving the spinnerettes
D01D0005088000;Cooling filaments, threads or the like, leaving the spinnerettes
D01D0005092000;in shafts or chimneys
D01D0005096000;Humidity control, or oiling, of filaments, threads or the like, leaving the spinnerettes
D01D0005098000;with simultaneous stretching
D01D0005100000;using organic materials
D01D0005110000;Flash-spinning
D01D0005120000;Stretch-spinning methods (finishing by stretching D02J0001220000)
D01D0005140000;with flowing liquid stretching media
D01D0005160000;using rollers, or like mechanical devices, e.g. snubbing pins
D01D0005180000;by means of rotating spinnerets
D01D0005200000;with varying denier along their length
D01D0005220000;with a crimped or curled structure. with a special structure to simulate wool (producing crimped or curled effects in filaments or threads after formation D02G0001000000)
D01D0005230000;by asymmetrical cooling of filaments, threads, or the like, leaving the spinnerettes
D01D0005240000;with a hollow structure. Spinnerette packs therefor (D01D0005380000 takes precedence.producing tubes of plastic material B29D. addition of agents forming hollow filaments D01F0001080000)
D01D0005247000;Discontinuous hollow structure or microporous structure
D01D0005253000;with a non-circular cross section. Spinnerette packs therefor (D01D0005380000 takes precedence)..
D01D0005260000;Formation of staple fibres (by flash-spinning D01D0005110000)
D01D0005280000;while mixing different spinning solutions or melts during the spinning operation. Spinnerette packs therefor
D01D0005300000;Conjugate filaments. Spinnerette packs therefor
D01D0005320000;Side-by-side structure. Spinnerette packs therefor
D01D0005340000;Core-skin structure. Spinnerette packs therefor
D01D0005360000;Matrix structure. Spinnerette packs therefor
D01D0005380000;Formation of filaments, threads, or the like during polymerisation
D01D0005400000;by applying a shearing force to a dispersion or solution of filament formable polymers, e.g. by stirring
D01D0005420000;by cutting films into narrow ribbons or filaments or by fibrillation of films
D01D0007000000;Collecting the newly-spun products (collecting newly-spun products with the imparting of twist D01H)
D01D0007020000;in centrifugal spinning pots
D01D0010000000;Physical treatment of man-made filaments or the like during manufacture, i.e. during a continuous production process before the filaments have been collected (finishing D02J)
D01D0010020000;Heat treatment (heating for finishing D02J0013000000)
D01D0010040000;Supporting filaments or the like during their treatment
D01D0010060000;Washing or drying
D01D0011000000;Other features of manufacture
D01D0011020000;Opening bundles to space the threads or filaments from one another
D01D0011040000;Fixed guides
D01D0011060000;Coating with spinning solutions or melts
D01D0013000000;Complete machines for producing man-made threads
D01D0013020000;Elements of machines in combination
D01F;CHEMICAL FEATURES IN THE MANUFACTURE OF MAN-MADE FILAMENTS, THREADS, FIBRES, BRISTLES OR RIBBONS. APPARATUS SPECIALLY ADAPTED FOR THE MANUFACTURE OF CARBON FILAMENTS
D01F0001000000;General methods for the manufacture of man-made filaments or the like
D01F0001020000;Addition of substances to the spinning solution or to the melt (addition of substances to viscose D01F0002080000)
D01F0001040000;Pigments
D01F0001060000;Dyes
D01F0001070000;for making fire- or flame-proof filaments
D01F0001080000;for forming hollow filaments
D01F0001090000;for making electroconductive or anti-static filaments
D01F0001100000;Other agents for modifying properties
D01F0002000000;Monocomponent artificial filaments or the like of cellulose or cellulose derivatives. Manufacture thereof
D01F0002020000;from solutions of cellulose in acids, bases, or salts
D01F0002040000;from cuprammonium solutions
D01F0002060000;from viscose (preparation of alkali cellulose C08B)
D01F0002080000;Composition of the spinning solution or the bath (preparing or dissolving cellulose xanthate C08B)
D01F0002100000;Addition to the spinning solution or spinning bath of substances which exert their effect equally well in either
D01F0002120000;Addition of delustring agents to the spinning solution
D01F0002140000;Addition of pigments
D01F0002160000;Addition of dyes to the spinning solution
D01F0002180000;Addition to the spinning solution of substances to influence ripening
D01F0002200000;for the manufacture of hollow threads
D01F0002220000;by the dry spinning process
D01F0002240000;from cellulose derivatives
D01F0002260000;from nitrocellulose
D01F0002280000;from organic cellulose esters or ethers, e.g. cellulose acetate
D01F0002300000;by the dry spinning process
D01F0004000000;Monocomponent artificial filaments or the like of proteins. Manufacture thereof
D01F0004020000;from fibroin
D01F0004040000;from casein
D01F0004060000;from globulins, e.g. groundnut protein
D01F0006000000;Monocomponent man-made filaments or the like of synthetic polymers. Manufacture thereof
D01F0006020000;from homopolymers obtained by reactions only involving carbon-to-carbon unsaturated bonds
D01F0006040000;from polyolefins
D01F0006060000;from polypropylene
D01F0006080000;from polymers of halogenated hydrocarbons
D01F0006100000;from polyvinyl chloride or polyvinylidene chloride
D01F0006120000;from polymers of fluorinated hydrocarbons
D01F0006140000;from polymers of unsaturated alcohols, e.g. polyvinyl alcohol, or of their acetals or ketals
D01F0006160000;from polymers of unsaturated carboxylic acids or unsaturated organic esters, e.g. polyacrylic esters, polyvinyl acetate
D01F0006180000;from polymers of unsaturated nitriles, e.g. polyacrylonitrile, polyvinylidene cyanide
D01F0006200000;from polymers of cyclic compounds with one carbon-to-carbon double bond in the side chain
D01F0006220000;from polystyrene
D01F0006240000;from polymers of aliphatic compounds with more than one carbon-to-carbon double bond
D01F0006260000;from other polymers
D01F0006280000;from copolymers obtained by reactions only involving carbon-to-carbon unsaturated bonds
D01F0006300000;comprising olefins as the major constituent
D01F0006320000;comprising halogenated hydrocarbons as the major constituent
D01F0006340000;comprising unsaturated alcohols, acetals, or ketals as the major constituent
D01F0006360000;comprising unsaturated carboxylic acids or unsaturated organic esters as the major constituent
D01F0006380000;comprising unsaturated nitriles as the major constituent
D01F0006400000;Modacrylic fibres, i.e. containing 35 to 85% acrylonitrile
D01F0006420000;comprising cyclic compounds containing one carbon-to-carbon double bond in the side chain as major constituent
D01F0006440000;from mixtures of polymers obtained by reactions only involving carbon-to-carbon unsaturated bonds as major constituent with other polymers or low-molecular-weight compounds
D01F0006460000;of polyolefins
D01F0006480000;of polymers of halogenated hydrocarbons
D01F0006500000;of polyalcohols, polyacetals or polyketals
D01F0006520000;of polymers of unsaturated carboxylic acids or unsaturated esters
D01F0006540000;of polymers of unsaturated nitriles
D01F0006560000;of polymers of cyclic compounds with one carbon-to-carbon double bond in the side chain
D01F0006580000;from homopolycondensation products
D01F0006600000;from polyamides (from polyamino acids or polypeptides D01F0006680000)
D01F0006620000;from polyesters
D01F0006640000;from polycarbonates
D01F0006660000;from polyethers
D01F0006680000;from polyaminoacids or polypeptides
D01F0006700000;from polyurethanes
D01F0006720000;from polyureas
D01F0006740000;from polycondensates of cyclic compounds, e.g. polyimides, polybenzimidazoles
D01F0006760000;from other polycondensation products
D01F0006780000;from copolycondensation products
D01F0006800000;from copolyamides
D01F0006820000;from polyester amides or polyether amides
D01F0006840000;from copolyesters
D01F0006860000;from polyetheresters
D01F0006880000;from mixtures of polycondensation products as major constituent with other polymers or low-molecular-weight compounds
D01F0006900000;of polyamides
D01F0006920000;of polyesters
D01F0006940000;of other polycondensation products
D01F0006960000;from other synthetic polymers
D01F0008000000;Conjugated, i.e. bi- or multicomponent, man-made filaments or the like. Manufacture thereof
D01F0008020000;from cellulose, cellulose derivatives, or proteins
D01F0008040000;from synthetic polymers
D01F0008060000;with at least one polyolefin as constituent
D01F0008080000;with at least one polyacrylonitrile as constituent
D01F0008100000;with at least one other macromolecular compound obtained by reactions only involving carbon-to-carbon unsaturated bonds as constituent
D01F0008120000;with at least one polyamide as constituent
D01F0008140000;with at least one polyester as constituent
D01F0008160000;with at least one other macromolecular compound obtained otherwise than by reactions only involving carbon-to-carbon unsaturated bonds
D01F0008180000;from other substances
D01F0009000000;Man-made filaments or the like of other substances. Manufacture thereof. Apparatus specially adapted for the manufacture of carbon filaments
D01F0009020000;of reaction products of rubber with acids or acid anhydrides, e.g. sulfur dioxide
D01F0009040000;of alginates
D01F0009080000;of inorganic material (working or processing of metal wire B21F. from softened glass, minerals, or slags C03B0037000000. incandescent bodies F21H, H01K0001020000, H01K0003020000)
D01F0009100000;by decomposition of organic substances (D01F0009120000 takes precedence)..
D01F0009120000;Carbon filaments. Apparatus specially adapted for the manufacture thereof
D01F0009127000;by thermal decomposition of hydrocarbon gases or vapours
D01F0009133000;Apparatus therefor
D01F0009140000;by decomposition of organic filaments
D01F0009145000;from pitch or distillation residues
D01F0009150000;from coal pitch
D01F0009155000;from petroleum pitch
D01F0009160000;from products of vegetable origin or derivatives thereof, e.g. from cellulose acetat (D01F0009180000 takes precedence)..
D01F0009170000;from lignin
D01F0009180000;from proteins, e.g. from wool
D01F0009200000;from polyaddition, polycondensation or polymerisation products (D01F0009145000, D01F0009160000, D01F0009180000 take precedence)..
D01F0009210000;from macromolecular compounds obtained by reactions only involving carbon-to-carbon unsaturated bonds
D01F0009220000;from polyacrylonitriles
D01F0009240000;from macromolecular compounds obtained otherwise than by reactions only involving carbon-to-carbon unsaturated bonds
D01F0009260000;from polyesters
D01F0009280000;from polyamides
D01F0009300000;from aromatic polyamides
D01F0009320000;Apparatus therefor
