E;SECTION E FIXED CONSTRUCTIONS
E01;CONSTRUCTION OF ROADS, RAILWAYS, OR BRIDGES
E01B;PERMANENT WAY. PERMANENT-WAY TOOLS. MACHINES FOR MAKING RAILWAYS OF ALL KINDS (derailing or rerailing blocks on track, track brakes or retarders B61K. removal of foreign matter from the permanent way, vegetation control, applying liquids E01H)
E01B0001000000;Structure of the permanent way for railways or tramways
E01B0001000000;Ballastway. Other means for supporting the sleepers or the track. Drainage of the ballastway (draining by trenches, culverts, or conduits E01F0005000000)
E01B0002000000;General structure of permanent way (railway networks B61B0001000000. foundations for pavings E01C0003000000. foundations in general E02D)
E01B0003000000;Transverse or longitudinal sleepers (for switches or crossings E01B0007220000). Other means resting directly on the ballastway for supporting rails
E01B0003020000;made from wood (drying or impregnating B27K)
E01B0003040000;Means for preventing cleaving
E01B0003060000;Anti-cracking dogs
E01B0003080000;Straps or bands for hooping or encircling sleepers (apparatus for hooping wooden railway sleepers on the spot E01B0031280000)
E01B0003100000;Composite sleepers
E01B0003120000;Longitudinal sleepers. Longitudinal sleepers integral or combined with tie-rods. Combined longitudinal and transverse sleepers
E01B0003140000;Slabs. Blocks. Fastening tie-rods to them
E01B0003160000;made from steel
E01B0003180000;Composite sleepers
E01B0003200000;Sleeper construction for special purposes, e.g. with openings for ballast working (sleepers for shiftable track for heavy loads E01B0023120000)
E01B0003220000;Longitudinal sleepers. Longitudinal sleepers integral or combined with tie-rods. Combined longitudinal and transverse sleepers
E01B0003240000;Slabs. Blocks. Pot sleepers. Fastening tie-rods to them
E01B0003260000;combined with inserts of wood, artificial stone, or other material
E01B0003280000;made from concrete or from natural or artificial stone (manufacture B28)
E01B0003300000;Hollow sleepers
E01B0003320000;with armouring or reinforcement (hollow sleepers E01B0003300000)
E01B0003340000;with pre-tensioned armouring or reinforcement (pre-tensioned armouring or reinforcing elements E04C0005000000)
E01B0003360000;Composite sleepers
E01B0003380000;Longitudinal sleepers. Longitudinal sleepers integral or combined with tie-rods. Combined longitudinal and transverse sleepers. Layers of concrete supporting both rails
E01B0003400000;Slabs. Blocks. Pot sleepers. Fastening tie-rods to them
E01B0003420000;combined with inserts of wood or other material
E01B0003440000;made from other materials only if the material is essential
