F;SECTION F MECHANICAL ENGINEERINGLIGHTING. HEATING. WEAPONS. BLASTING
F01;MACHINES OR ENGINES IN GENERAL. ENGINE PLANTS IN GENERAL. STEAM ENGINES
F01B;MACHINES OR ENGINES, IN GENERAL OR OF POSITIVE-DISPLACEMENT TYPE, e.g. STEAM ENGINES (of rotary-piston or oscillating-piston type F01C. of non-positive-displacement type F01D. combustion engines F02. internal-combustion aspects of reciprocating-piston engines F02B0057000000, F02B0059000000. machines for liquids F03, F04. crankshafts, crossheads, connecting-rods F16C. flywheels F16F. gearings for interconverting rotary motion and reciprocating motion in general F16H. pistons, piston-rods, cylinders, for engines in general F16J)
F01B0001000000;Reciprocating-piston machines or engines characterised by number or relative disposition of cylinders or by being built-up from separate cylinder-crankcase elements (F01B0003000000, F01B0005000000 take precedence)..
F01B0001010000;with one single cylinder
F01B0001020000;with cylinders all in one line
F01B0001040000;with cylinders in V-arrangement
F01B0001060000;with cylinders in star or fan arrangement
F01B0001080000;"with cylinders arranged oppositely relative to main shaft and of ""flat"" type"
F01B0001100000;with more than one main shaft, e.g. coupled to common output shaft (combinations of two or more machines or engines F01B0021000000)
F01B0001120000;Separate cylinder-crankcase elements coupled together to form a unit
F01B0003000000;Reciprocating-piston machines or engines with cylinder axes coaxial with, or parallel or inclined to, main shaft axis
F01B0003020000;with wobble-plate
F01B0003040000;the piston motion being transmitted by curved surfaces
F01B0003060000;by multi-turn helical surfaces and automatic reversal
F01B0003080000;the helices being arranged on the pistons
F01B0003100000;Control of working-fluid admission or discharge peculiar thereto (suitable for more general application F01L)
F01B0005000000;Reciprocating-piston machines or engines with cylinder axes arranged substantially tangentially to a circle centred on main shaft axis
F01B0007000000;Machines or engines with two or more pistons reciprocating within same cylinder or within essentially coaxial cylinders (in opposite arrangement relative to main shaft F01B0001080000)
F01B0007020000;with oppositely reciprocating pistons
F01B0007040000;acting on same main shaft
F01B0007060000;using only connecting-rods for conversion of reciprocatory into rotary motion or . vice versa
F01B0007080000;with side rods
F01B0007100000;having piston-rod of one piston passed through other piston
F01B0007120000;using rockers and connecting-rods
F01B0007140000;acting on different main shafts
F01B0007160000;with pistons synchronously moving in tandem arrangement
F01B0007180000;with differential piston (F01B0007200000 takes precedence)..
F01B0007200000;with two or more pistons reciprocating one within another, e.g. one piston forming cylinder of the other
F01B0009000000;Reciprocating-piston machines or engines characterised by connections between pistons and main shafts and not specific to groups  F01B0001000000-F01B0007000000. (connections disengageable during idling F01B0031240000)
F01B0009020000;with crankshaft
F01B0009040000;with rotary main shaft other than crankshaft
F01B0009060000;the piston motion being transmitted by curved surfaces
