G;SECTION G PHYSICS
G01;MEASURING. TESTING
G01B;MEASURING LENGTH, THICKNESS OR SIMILAR LINEAR DIMENSIONS. MEASURING ANGLES. MEASURING AREAS. MEASURING IRREGULARITIES OF SURFACES OR CONTOURS
G01B0001000000;Measuring instruments characterised by the selection of material therefor
G01B0003000000;Instruments as specified in the subgroups and characterised by the use of mechanical measuring means (arrangements for measuring particular parameters G01B0005000000. devices of general interest specially adapted or mounted for storing and repeatedly paying-out and re-storing lengths of material B65H0075340000)
G01B0003020000;Rulers or tapes with scales or marks for direct reading
G01B0003040000;rigid
G01B0003060000;folding
G01B0003080000;extensible
G01B0003100000;flexible
G01B0003110000;Chains for measuring length
G01B0003120000;Measuring wheels
G01B0003140000;Templates for checking contours
G01B0003160000;Compasses, i.e. with a pair of pivoted arms
G01B0003180000;Micrometers
G01B0003200000;Slide gauges
G01B0003220000;Feeler-pin gauges, e.g. dial gauges (for measuring contours or curvatures G01B0005200000)
G01B0003240000;with open yoke, i.e. calipers
G01B0003260000;Plug gauges
G01B0003280000;Depth gauges
G01B0003300000;Bars, blocks, or strips in which the distance between a pair of faces is fixed, although it may be preadjustable, e.g. end measure, feeler strip
G01B0003320000;Holders therefor
G01B0003340000;"Ring or other apertured gauges, e.g. ""go/no-go"" gauge"
G01B0003360000;for external screw threads
G01B0003380000;Gauges with an open yoke and opposed faces, i.e. calipers, in which the internal distance between the faces is fixed, although it may be preadjustable
G01B0003400000;for external screw threads
G01B0003420000;"of limit-gauge type, i.e. ""go/no-go"" (G01B0003400000 takes precedence).."
G01B0003440000;preadjustable for wear or tolerance
G01B0003460000;Plug gauges for internal dimensions with engaging surfaces which are at a fixed distance, although they may be preadjustable
G01B0003480000;for internal screw threads
G01B0003500000;"of limit-gauge type, i.e. ""go/no-go"" (G01B0003480000 takes precedence).."
G01B0003520000;preadjustable for wear or tolerance
G01B0003560000;Gauges for measuring angles or tapers, e.g. conical calipers
G01B0005000000;Measuring arrangements characterised by the use of mechanical means (instruments of the types covered by group G01B0003000000 .per se G01B0003000000)
G01B0005004000;for measuring coordinates of points
G01B0005008000;using coordinate measuring machines
G01B0005012000;Contact-making feeler heads therefor
G01B0005016000;Constructional details of contacts
G01B0005020000;for measuring length, width, or thickness (G01B0005004000, G01B0005080000 take precedence)..
G01B0005040000;specially adapted for measuring length or width of objects while moving
G01B0005060000;for measuring thickness
G01B0005080000;for measuring diameters
G01B0005100000;of objects while moving
G01B0005120000;internal diameters
G01B0005140000;for measuring distance or clearance between spaced objects or spaced apertures (G01B0005240000 takes precedence)..
G01B0005160000;between a succession of regularly spaced objects or regularly spaced apertures
G01B0005180000;for measuring depth
G01B0005200000;for measuring contours or curvatures
G01B0005207000;using a plurality of fixed, simultaneously operating transducers (G01B0005213000-G01B0005220000.  take precedence)..
G01B0005213000;for measuring radius of curvature
G01B0005220000;Spherometers
G01B0005240000;for measuring angles or tapers. for testing the alignment of axes
G01B0005245000;for testing perpendicularity
G01B0005250000;for testing the alignment of axes
G01B0005252000;for measuring eccentricity, i.e. lateral shift between two parallel axes
G01B0005255000;for testing wheel alignment
G01B0005260000;for measuring areas, e.g. planimeter (integrators in general G06G)
G01B0005280000;for measuring roughness or irregularity of surfaces
G01B0005300000;for measuring the deformation in a solid, e.g. mechanical strain gauge
G01B0007000000;Measuring arrangements characterised by the use of electric or magnetic means
G01B0007004000;for measuring coordinates of points
G01B0007008000;using coordinate measuring machines
G01B0007012000;Contact-making feeler heads therefor
G01B0007016000;Constructional details of contacts
G01B0007020000;for measuring length, width, or thickness (G01B0007004000, G01B0007120000 takes precedence)..
G01B0007040000;specially adapted for measuring length or width of objects while moving
G01B0007060000;for measuring thickness
G01B0007120000;for measuring diameters
G01B0007130000;Internal diameters
G01B0007140000;for measuring distance or clearance between spaced objects or spaced apertures (G01B0007300000 takes precedence)..
G01B0007150000;being regularly spaced
G01B0007160000;for measuring the deformation in a solid, e.g. by resistance strain gauge
G01B0007240000;using change in magnetic properties
G01B0007260000;for measuring depth
G01B0007280000;for measuring contours or curvatures
G01B0007287000;using a plurality of fixed, simultaneously operating transducers (G01B0007293000 takes precedence)..
G01B0007293000;for measuring radius of curvature
G01B0007300000;for measuring angles or tapers. for testing the alignment of axes
G01B0007305000;for testing perpendicularity
G01B0007310000;for testing the alignment of axes
G01B0007312000;for measuring eccentricity, i.e. lateral shift between two parallel axes
G01B0007315000;for testing wheel alignment
G01B0007320000;for measuring areas (integrators in general G06G)
G01B0007340000;for measuring roughness or irregularity of surfaces
G01B0009000000;Instruments as specified in the subgroups and characterised by the use of optical measuring means (arrangements for measuring particular parameters G01B0011000000)
G01B0009020000;Interferometers
G01B0009021000;using holographic techniques
G01B0009023000;for contour producing (G01B0009025000-G01B0009029000.  take precedence)..
G01B0009025000;Double-exposure technique
G01B0009027000;in real time
G01B0009029000;by time averaging
G01B0009040000;Measuring microscopes
G01B0009060000;Measuring telescopes
G01B0009080000;Optical projection comparators
G01B0009100000;Goniometers for measuring angles between surfaces
G01B0011000000;Measuring arrangements characterised by the use of optical means (instruments of the types covered by group G01B0009000000 .per se G01B0009000000)
G01B0011020000;for measuring length, width, or thickness (G01B0011080000 takes precedence)..
G01B0011030000;by measuring coordinates of points
G01B0011040000;specially adapted for measuring length or width of objects while moving
G01B0011060000;for measuring thickness
G01B0011080000;for measuring diameters
G01B0011100000;of objects while moving
G01B0011120000;internal diameters
G01B0011140000;for measuring distance or clearance between spaced objects or spaced apertures (G01B0011260000 takes precedence.rangefinders G01C0003000000)
G01B0011160000;for measuring the deformation in a solid, e.g. optical strain gauge
G01B0011220000;for measuring depth
G01B0011240000;for measuring contours or curvatures
G01B0011245000;using a plurality of fixed, simultaneously operating transducers (G01B0011255000 takes precedence)..
G01B0011250000;by projecting a pattern, e.g. moiré fringes, on the object (G01B0011255000 takes precedence)..
G01B0011255000;for measuring radius of curvature
G01B0011260000;for measuring angles or tapers. for testing the alignment of axes
G01B0011270000;for testing the alignment of axes
G01B0011275000;for testing wheel alignment
G01B0011280000;for measuring areas (integrators in general G06G)
G01B0011300000;for measuring roughness or irregularity of surfaces
G01B0013000000;Measuring arrangements characterised by the use of fluids
G01B0013020000;for measuring length, width, or thickness (G01B0013080000 takes precedence)..
G01B0013030000;by measuring coordinates of points
G01B0013040000;specially adapted for measuring length or width of objects while moving
G01B0013060000;for measuring thickness
G01B0013080000;for measuring diameters
G01B0013100000;internal diameters
G01B0013120000;for measuring distance or clearance between spaced objects or spaced apertures (G01B0013180000 takes precedence)..
G01B0013140000;for measuring depth
G01B0013160000;for measuring contours or curvatures
G01B0013180000;for measuring angles or tapers. for testing the alignment of axes
G01B0013190000;for testing the alignment of axes
G01B0013195000;for testing wheel alignment
G01B0013200000;for measuring areas, e.g. pneumatic planimeter (integrators in general G06G)
G01B0013220000;for measuring roughness or irregularity of surfaces
G01B0013240000;for measuring the deformation in a solid
G01B0015000000;Measuring arrangements characterised by the use of wave or particle radiation (G01B0009000000, G01B0011000000 take precedence)..
G01B0015020000;for measuring thickness
G01B0015040000;for measuring contours or curvatures
G01B0015060000;for measuring the deformation in a solid
G01B0015080000;for measuring roughness or irregularity of surfaces
G01B0017000000;Measuring arrangements characterised by the use of infrasonic, sonic, or ultrasonic vibrations
G01B0017020000;for measuring thickness
