H;SECTION H ELECTRICITY
H01;BASIC ELECTRIC ELEMENTS
H01B;CABLES. CONDUCTORS. INSULATORS. SELECTION OF MATERIALS FOR THEIR CONDUCTIVE, INSULATING OR DIELECTRIC PROPERTIES (selection for magnetic properties H01F0001000000. waveguides H01P)
H01B0001000000;Conductors or conductive bodies characterised by the conductive materials. Selection of materials as conductors (superconductive or hyperconductive conductors, cables or transmission lines characterised by the materials H01B0012000000)
H01B0001020000;mainly consisting of metals or alloys
H01B0001040000;mainly consisting of carbon-silicon compounds, carbon, or silicon
H01B0001060000;mainly consisting of other non-metallic substances
H01B0001080000;oxides
H01B0001100000;sulfides
H01B0001120000;organic substances
H01B0001140000;Conductive material dispersed in non-conductive inorganic material
H01B0001160000;the conductive material comprising metals or alloys
H01B0001180000;the conductive material comprising carbon-silicon compounds, carbon, or silicon
H01B0001200000;Conductive material dispersed in non-conductive organic material
H01B0001220000;the conductive material comprising metals or alloys
H01B0001240000;the conductive material comprising carbon-silicon compounds, carbon, or silicon
H01B0003000000;Insulators or insulating bodies characterised by the insulating materials. Selection of materials for their insulating or dielectric properties
H01B0003020000;mainly consisting of inorganic substances
H01B0003040000;mica
H01B0003060000;asbestos
H01B0003080000;quartz. glass. glass wool. slag wool. vitreous enamels
H01B0003100000;metallic oxides (ceramics H01B0003120000)
H01B0003120000;ceramics
H01B0003140000;cements
H01B0003160000;gases
H01B0003180000;mainly consisting of organic substances
H01B0003200000;liquids, e.g. oils (silicone oils H01B0003460000)
H01B0003220000;hydrocarbons
H01B0003240000;containing halogen in the molecules, e.g. halogenated oils
H01B0003260000;asphalts. bitumens. pitches
H01B0003280000;natural or synthetic rubbers
H01B0003300000;plastics. resins. waxes
H01B0003320000;natural resins
H01B0003340000;waxes (silicone waxes H01B0003460000)
H01B0003360000;condensation products of phenols with aldehydes or ketones
H01B0003380000;condensation products of aldehydes with amines or amides
H01B0003400000;epoxy resins
H01B0003420000;polyesters. polyethers. polyacetals
H01B0003440000;vinyl resins. acrylic resins (silicones H01B0003460000)
H01B0003460000;silicones
